"Path","File","mfst","bld","inst","s10"
"","autodoc.pl","X",,,"skip"
"","av.c","X","X",,"distrib"
"","av.h","X","X","X","distrib"
"","build.touched",,"X",,"skip"
"","bytecode.pl","X",,,"skip"
"","cc_runtime.h","X",,"X","distrib"
"","cflags",,"X",,"skip"
"","cflags.SH","X","X",,"skip"
"","config.h",,"X",,"skip"
"","config.sh",,"X",,"arch"
"","config_h.SH","X","X",,"distrib"
"","configpm","X","X",,"distrib"
"","configure.com","X",,,"skip"
"","configure.gnu","X",,,"skip"
"","configure.log",,"X",,"skip"
"","cop.h","X","X","X","distrib"
"","cv.h","X","X","X","distrib"
"","deb.c","X","X",,"distrib"
"","doio.c","X","X",,"distrib"
"","doop.c","X","X",,"distrib"
"","dosish.h","X",,"X","distrib"
"","dump.c","X","X",,"distrib"
"","embed.fnc","X",,,"skip"
"","embed.h","X","X","X","distrib"
"","embed.pl","X",,,"skip"
"","embedvar.h","X","X","X","distrib"
"","ext.libs",,"X",,"skip"
"","extra.pods",,"X",,"skip"
"","fakesdio.h","X",,"X","distrib"
"","fakethr.h","X",,"X","distrib"
"","form.h","X","X","X","distrib"
"","global.sym","X",,,"skip"
"","globals.c","X","X",,"distrib"
"","globvar.sym","X",,,"skip"
"","gv.c","X","X",,"distrib"
"","gv.h","X","X","X","distrib"
"","handy.h","X","X","X","distrib"
"","hv.c","X","X",,"distrib"
"","hv.h","X","X","X","distrib"
"","installhtml","X",,,"skip"
"","installman","X",,,"skip"
"","installperl","X",,,"distrib"
"","intrpvar.h","X","X","X","distrib"
"","iperlsys.h","X","X","X","distrib"
"","keywords.h","X","X","X","distrib"
"","keywords.pl","X",,,"skip"
"","locale.c","X","X",,"distrib"
"","make.log",,"X",,"skip"
"","makeaperl",,"X",,"skip"
"","makeaperl.SH","X","X",,"skip"
"","makedef.pl","X",,,"skip"
"","makedepend",,"X",,"skip"
"","makedepend.SH","X","X",,"skip"
"","makedir",,"X",,"skip"
"","makedir.SH","X","X",,"skip"
"","makefile",,"X",,"skip"
"","makefile.old",,"X",,"skip"
"","malloc.c","X",,,"skip"
"","malloc_ctl.h","X",,"X","distrib"
"","mg.c","X","X",,"distrib"
"","mg.h","X","X","X","distrib"
"","minimod.pl","X","X",,"distrib"
"","miniperl",,"X",,"skip"
"","miniperlmain.c","X","X",,"distrib"
"","mv-if-diff","X","X",,"skip"
"","myconfig",,"X",,"skip"
"","myconfig.SH","X","X",,"distrib"
"","nostdio.h","X","X","X","distrib"
"","numeric.c","X","X",,"distrib"
"","op.c","X","X",,"distrib"
"","op.h","X","X","X","distrib"
"","opcode.h","X","X","X","distrib"
"","opcode.pl","X",,,"skip"
"","opnames.h","X","X","X","distrib"
"","pad.c","X","X",,"distrib"
"","pad.h","X","X","X","distrib"
"","patchlevel.h","X","X","X","distrib"
"","perl",,"X",,"skip"
"","perl.c","X","X",,"distrib"
"","perl.h","X","X","X","distrib"
"","perlapi.c","X","X",,"distrib"
"","perlapi.h","X","X","X","distrib"
"","perlio.c","X","X",,"distrib"
"","perlio.h","X","X","X","distrib"
"","perlio.sym","X",,,"skip"
"","perliol.h","X","X","X","distrib"
"","perlmain.c",,"X",,"skip"
"","perlsdio.h","X",,"X","distrib"
"","perlsfio.h","X",,"X","distrib"
"","perlsh","X",,,"skip"
"","perlvars.h","X","X","X","distrib"
"","perly.c","X","X",,"distrib"
"","perly.fixer","X",,,"skip"
"","perly.h","X","X","X","distrib"
"","perly.y","X",,,"skip"
"","perly_c.diff","X",,,"skip"
"","perlyline.pl","X",,,"skip"
"","pod.lst","X",,,"skip"
"","pp.c","X","X",,"distrib"
"","pp.h","X","X","X","distrib"
"","pp.sym","X",,,"skip"
"","pp_ctl.c","X","X",,"distrib"
"","pp_hot.c","X","X",,"distrib"
"","pp_pack.c","X","X",,"distrib"
"","pp_proto.h","X","X","X","distrib"
"","pp_sort.c","X","X",,"distrib"
"","pp_sys.c","X","X",,"distrib"
"","proto.h","X","X","X","distrib"
"","reentr.c","X","X",,"distrib"
"","reentr.h","X","X","X","distrib"
"","reentr.inc","X","X","X","distrib"
"","reentr.pl","X",,,"skip"
"","regcomp.c","X","X",,"distrib"
"","regcomp.h","X","X","X","distrib"
"","regcomp.pl","X",,,"skip"
"","regcomp.sym","X",,,"skip"
"","regen.pl","X",,,"skip"
"","regen_lib.pl","X",,,"skip"
"","regexec.c","X","X",,"distrib"
"","regexp.h","X","X","X","distrib"
"","regnodes.h","X","X","X","distrib"
"","run.c","X","X",,"distrib"
"","scope.c","X","X",,"distrib"
"","scope.h","X","X","X","distrib"
"","sv.c","X","X",,"distrib"
"","sv.h","X","X","X","distrib"
"","taint.c","X","X",,"distrib"
"","test.log",,"X",,"skip"
"","thrdvar.h","X","X","X","distrib"
"","thread.h","X","X","X","distrib"
"","toke.c","X","X",,"distrib"
"","uconfig.h","X",,"X","distrib"
"","uconfig.sh","X",,,"skip"
"","universal.c","X","X",,"distrib"
"","unixish.h","X","X","X","distrib"
"","utf8.c","X","X",,"distrib"
"","utf8.h","X","X","X","distrib"
"","utfebcdic.h","X",,"X","distrib"
"","util.c","X","X",,"distrib"
"","util.h","X","X","X","distrib"
"","utils.lst","X",,,"distrib"
"","warnings.h","X","X","X","distrib"
"","warnings.pl","X",,,"skip"
"","writemain",,"X",,"skip"
"","writemain.SH","X","X",,"distrib"
"","xsutils.c","X","X",,"distrib"
"..","Makefile",,,,"fwd"
"..","extract_config.sh",,,,"fwd"
"..","extract_makeext.sh",,,,"fwd"
"..","get_no_keywords.sh",,,,"fwd"
"..","req.flg",,,,"fwd"
"../contrib","Makefile",,,,"fwd"
"Cross","Makefile","X",,,"skip"
"Cross","Makefile.SH.patch","X",,,"skip"
"Cross","README","X",,,"skip"
"Cross","TODO","X",,,"skip"
"Cross","config","X",,,"skip"
"Cross","config.sh-arm-linux","X",,,"skip"
"Cross","generate_config_sh","X",,,"skip"
"Cross","installperl.patch","X",,,"skip"
"Cross","warp","X",,,"skip"
"NetWare","CLIBsdio.h","X",,,"skip"
"NetWare","CLIBstr.h","X",,,"skip"
"NetWare","CLIBstuf.c","X",,,"skip"
"NetWare","CLIBstuf.h","X",,,"skip"
"NetWare","MP.imp","X",,,"skip"
"NetWare","Main.c","X",,,"skip"
"NetWare","Makefile","X",,,"skip"
"NetWare","NWTInfo.c","X",,,"skip"
"NetWare","NWUtil.c","X",,,"skip"
"NetWare","Nwmain.c","X",,,"skip"
"NetWare","Nwpipe.c","X",,,"skip"
"NetWare","config.wc","X",,,"skip"
"NetWare","config_H.wc","X",,,"skip"
"NetWare","config_h.PL","X",,,"skip"
"NetWare","config_sh.PL","X",,,"skip"
"NetWare","deb.h","X",,,"skip"
"NetWare","dl_netware.xs","X",,,"skip"
"NetWare","intdef.h","X",,,"skip"
"NetWare","interface.c","X",,,"skip"
"NetWare","interface.cpp","X",,,"skip"
"NetWare","interface.h","X",,,"skip"
"NetWare","iperlhost.h","X",,,"skip"
"NetWare","netware.h","X",,,"skip"
"NetWare","nw5.c","X",,,"skip"
"NetWare","nw5iop.h","X",,,"skip"
"NetWare","nw5sck.c","X",,,"skip"
"NetWare","nw5sck.h","X",,,"skip"
"NetWare","nw5thread.c","X",,,"skip"
"NetWare","nw5thread.h","X",,,"skip"
"NetWare","nwhashcls.cpp","X",,,"skip"
"NetWare","nwhashcls.h","X",,,"skip"
"NetWare","nwperlhost.h","X",,,"skip"
"NetWare","nwperlsys.c","X",,,"skip"
"NetWare","nwperlsys.h","X",,,"skip"
"NetWare","nwpipe.h","X",,,"skip"
"NetWare","nwplglob.c","X",,,"skip"
"NetWare","nwplglob.h","X",,,"skip"
"NetWare","nwstdio.h","X",,,"skip"
"NetWare","nwtinfo.h","X",,,"skip"
"NetWare","nwutil.h","X",,,"skip"
"NetWare","nwvmem.h","X",,,"skip"
"NetWare","perllib.cpp","X",,,"skip"
"NetWare","splittree.pl","X",,,"skip"
"NetWare","sv_nw.c","X",,,"skip"
"NetWare","win32ish.h","X",,,"skip"
"NetWare/bat","Buildtype.bat","X",,,"skip"
"NetWare/bat","SetCodeWar.bat","X",,,"skip"
"NetWare/bat","SetNWBld.bat","X",,,"skip"
"NetWare/bat","Setnlmsdk.bat","X",,,"skip"
"NetWare/bat","ToggleD2.bat","X",,,"skip"
"NetWare/t","NWModify.pl","X",,,"skip"
"NetWare/t","NWScripts.pl","X",,,"skip"
"NetWare/t","Readme.txt","X",,,"skip"
"NetWare/testnlm/echo","echo.c","X",,,"skip"
"NetWare/testnlm/type","type.c","X",,,"skip"
"Porting","Contract","X",,,"skip"
"Porting","Glossary","X","X",,"distrib"
"Porting","Maintainers","X",,,"skip"
"Porting","Maintainers.pl","X",,,"skip"
"Porting","Maintainers.pm","X",,,"skip"
"Porting","apply","X",,,"skip"
"Porting","check83.pl","X",,,"skip"
"Porting","checkURL.pl","X",,,"skip"
"Porting","checkVERSION.pl","X",,,"skip"
"Porting","cmpVERSION.pl","X",,,"skip"
"Porting","config.sh","X",,,"skip"
"Porting","config_H","X",,,"skip"
"Porting","corecpan.pl","X",,,"skip"
"Porting","curliff.pl","X",,,"skip"
"Porting","findrfuncs","X",,,"skip"
"Porting","findvars","X",,,"skip"
"Porting","fixCORE","X",,,"skip"
"Porting","fixvars","X",,,"skip"
"Porting","genlog","X",,,"skip"
"Porting","makemeta","X",,,"skip"
"Porting","makerel","X",,,"skip"
"Porting","manicheck","X",,,"skip"
"Porting","p4d2p","X",,,"skip"
"Porting","p4genpatch","X",,,"skip"
"Porting","patching.pod","X",,,"skip"
"Porting","patchls","X",,,"skip"
"Porting","pumpkin.pod","X",,,"skip"
"Porting","repository.pod","X",,,"skip"
"Porting","sort_perldiag.pl","X",,,"skip"
"Porting","testall.atom","X",,,"skip"
"Porting","thirdclean","X",,,"skip"
"Porting","valgrindpp.pl","X",,,"skip"
"apollo/netinet","in.h","X",,,"skip"
"beos","beos.c","X",,,"skip"
"beos","beosish.h","X",,,"skip"
"beos","nm.c","X",,,"skip"
"cygwin","Makefile.SHs","X",,,"skip"
"cygwin","cygwin.c","X",,,"skip"
"cygwin","ld2.in","X",,,"skip"
"cygwin","perlld.in","X",,,"skip"
"djgpp","config.over","X",,,"skip"
"djgpp","configure.bat","X",,,"skip"
"djgpp","djgpp.c","X",,,"skip"
"djgpp","djgpp.h","X",,,"skip"
"djgpp","djgppsed.sh","X",,,"skip"
"djgpp","fixpmain","X",,,"skip"
"emacs","cperl-mode.el","X",,,"skip"
"emacs","e2ctags.pl","X",,,"skip"
"emacs","ptags","X",,,"skip"
"epoc","config.sh","X",,,"skip"
"epoc","createpkg.pl","X",,,"skip"
"epoc","epoc.c","X",,,"skip"
"epoc","epoc_stubs.c","X",,,"skip"
"epoc","epocish.c","X",,,"skip"
"epoc","epocish.h","X",,,"skip"
"epoc","link.pl","X",,,"skip"
"ext/B","B.bs",,"X",,"skip"
"ext/B","B.c",,"X",,"skip"
"ext/B","B.pm","X","X","X","distrib"
"ext/B","B.xs","X","X",,"distrib"
"ext/B","Makefile",,"X",,"skip"
"ext/B","Makefile.PL","X","X",,"distrib"
"ext/B","NOTES","X",,,"skip"
"ext/B","O.pm","X","X","X","distrib"
"ext/B","README","X",,,"skip"
"ext/B","TESTS","X",,,"skip"
"ext/B","Todo","X",,,"skip"
"ext/B","defsubs.h",,"X",,"skip"
"ext/B","defsubs_h.PL","X","X",,"distrib"
"ext/B","pm_to_blib",,"X",,"skip"
"ext/B","typemap","X","X",,"distrib"
"ext/B/B","Asmdata.pm","X","X","X","distrib"
"ext/B/B","Assembler.pm","X","X","X","distrib"
"ext/B/B","Bblock.pm","X","X","X","distrib"
"ext/B/B","Bytecode.pm","X","X","X","distrib"
"ext/B/B","C.pm","X","X","X","distrib"
"ext/B/B","CC.pm","X","X","X","distrib"
"ext/B/B","Concise.pm","X","X","X","distrib"
"ext/B/B","Debug.pm","X","X","X","distrib"
"ext/B/B","Deparse.pm","X","X","X","distrib"
"ext/B/B","Disassembler.pm","X","X","X","distrib"
"ext/B/B","Lint.pm","X","X","X","distrib"
"ext/B/B","Showlex.pm","X","X","X","distrib"
"ext/B/B","Stackobj.pm","X","X","X","distrib"
"ext/B/B","Stash.pm","X","X","X","distrib"
"ext/B/B","Terse.pm","X","X","X","distrib"
"ext/B/B","Xref.pm","X","X","X","distrib"
"ext/B/B","assemble","X","X","X","distrib"
"ext/B/B","cc_harness","X","X","X","distrib"
"ext/B/B","disassemble","X","X","X","distrib"
"ext/B/B","makeliblinks","X","X","X","distrib"
"ext/B/C","C.bs",,"X",,"skip"
"ext/B/C","C.c",,"X",,"skip"
"ext/B/C","C.xs","X","X",,"distrib"
"ext/B/C","Makefile",,"X",,"skip"
"ext/B/C","Makefile.PL","X","X",,"distrib"
"ext/B/C","pm_to_blib",,"X",,"skip"
"ext/B/hints","darwin.pl","X",,,"skip"
"ext/B/hints","openbsd.pl","X",,,"skip"
"ext/B/ramblings","cc.notes","X",,,"skip"
"ext/B/ramblings","curcop.runtime","X",,,"skip"
"ext/B/ramblings","flip-flop","X",,,"skip"
"ext/B/ramblings","magic","X",,,"skip"
"ext/B/ramblings","reg.alloc","X",,,"skip"
"ext/B/ramblings","runtime.porting","X",,,"skip"
"ext/B/t","asmdata.t","X","X",,"distrib"
"ext/B/t","assembler.t","X","X",,"distrib"
"ext/B/t","b.t","X","X",,"distrib"
"ext/B/t","bblock.t","X","X",,"distrib"
"ext/B/t","concise.t","X","X",,"distrib"
"ext/B/t","debug.t","X","X",,"distrib"
"ext/B/t","deparse.t","X","X",,"distrib"
"ext/B/t","lint.t","X","X",,"distrib"
"ext/B/t","o.t","X","X",,"distrib"
"ext/B/t","showlex.t","X","X",,"distrib"
"ext/B/t","stash.t","X","X",,"distrib"
"ext/B/t","terse.t","X","X",,"distrib"
"ext/B/t","xref.t","X","X",,"distrib"
"ext/ByteLoader","ByteLoader.bs",,"X",,"skip"
"ext/ByteLoader","ByteLoader.c",,"X",,"skip"
"ext/ByteLoader","ByteLoader.pm","X","X","X","distrib"
"ext/ByteLoader","ByteLoader.xs","X","X",,"distrib"
"ext/ByteLoader","Makefile",,"X",,"skip"
"ext/ByteLoader","Makefile.PL","X","X",,"distrib"
"ext/ByteLoader","bytecode.h","X","X",,"distrib"
"ext/ByteLoader","byterun.c","X","X",,"distrib"
"ext/ByteLoader","byterun.h","X","X",,"distrib"
"ext/ByteLoader","pm_to_blib",,"X",,"skip"
"ext/ByteLoader/hints","sunos.pl","X",,,"skip"
"ext/Cwd","Changes","X",,,"skip"
"ext/Cwd","Cwd.bs",,"X",,"skip"
"ext/Cwd","Cwd.c",,"X",,"skip"
"ext/Cwd","Cwd.xs","X","X",,"distrib"
"ext/Cwd","Makefile",,"X",,"skip"
"ext/Cwd","Makefile.PL","X","X",,"distrib"
"ext/Cwd","pm_to_blib",,"X",,"skip"
"ext/Cwd/t","cwd.t","X","X",,"distrib"
"ext/Cwd/t","taint.t","X","X",,"distrib"
"ext/DB_File","Changes","X",,,"skip"
"ext/DB_File","DB_File.pm","X",,,"skip"
"ext/DB_File","DB_File.xs","X",,,"skip"
"ext/DB_File","DB_File_BS","X",,,"skip"
"ext/DB_File","Makefile.PL","X",,,"skip"
"ext/DB_File","dbinfo","X",,,"skip"
"ext/DB_File","typemap","X",,,"skip"
"ext/DB_File","version.c","X",,,"skip"
"ext/DB_File/hints","dynixptx.pl","X",,,"skip"
"ext/DB_File/hints","sco.pl","X",,,"skip"
"ext/DB_File/t","db-btree.t","X","X",,"skip"
"ext/DB_File/t","db-hash.t","X","X",,"skip"
"ext/DB_File/t","db-recno.t","X","X",,"skip"
"ext/Data/Dumper","Changes","X",,,"skip"
"ext/Data/Dumper","Dumper.bs",,"X",,"skip"
"ext/Data/Dumper","Dumper.c",,"X",,"skip"
"ext/Data/Dumper","Dumper.pm","X","X","X","distrib"
"ext/Data/Dumper","Dumper.xs","X","X",,"distrib"
"ext/Data/Dumper","Makefile",,"X",,"skip"
"ext/Data/Dumper","Makefile.PL","X","X",,"distrib"
"ext/Data/Dumper","Todo","X",,,"skip"
"ext/Data/Dumper","pm_to_blib",,"X",,"skip"
"ext/Data/Dumper/t","dumper.t","X","X",,"distrib"
"ext/Data/Dumper/t","overload.t","X","X",,"distrib"
"ext/Data/Dumper/t","pair.t","X","X",,"distrib"
"ext/Devel/DProf","Changes","X",,,"skip"
"ext/Devel/DProf","DProf.bs",,"X",,"skip"
"ext/Devel/DProf","DProf.c",,"X",,"skip"
"ext/Devel/DProf","DProf.pm","X","X","X","distrib"
"ext/Devel/DProf","DProf.xs","X","X",,"distrib"
"ext/Devel/DProf","Makefile",,"X",,"skip"
"ext/Devel/DProf","Makefile.PL","X","X",,"distrib"
"ext/Devel/DProf","Todo","X",,,"skip"
"ext/Devel/DProf","pm_to_blib",,"X",,"skip"
"ext/Devel/DProf/t","DProf.t","X","X",,"distrib"
"ext/Devel/PPPort","Changes","X",,,"skip"
"ext/Devel/PPPort","MANIFEST","X","X",,"skip"
"ext/Devel/PPPort","Makefile",,"X",,"skip"
"ext/Devel/PPPort","Makefile.PL","X","X",,"distrib"
"ext/Devel/PPPort","PPPort.bs",,"X",,"skip"
"ext/Devel/PPPort","PPPort.c",,"X",,"skip"
"ext/Devel/PPPort","PPPort.pm","X","X","X","distrib"
"ext/Devel/PPPort","PPPort.xs","X","X",,"distrib"
"ext/Devel/PPPort","README","X",,,"skip"
"ext/Devel/PPPort","TODO","X",,,"skip"
"ext/Devel/PPPort","module2.c","X","X",,"distrib"
"ext/Devel/PPPort","module3.c","X","X",,"distrib"
"ext/Devel/PPPort","pm_to_blib",,"X",,"skip"
"ext/Devel/PPPort","ppport.h",,"X",,"skip"
"ext/Devel/PPPort","ppport_h.PL","X","X",,"distrib"
"ext/Devel/PPPort","soak","X",,,"skip"
"ext/Devel/PPPort/t","test.t","X","X",,"distrib"
"ext/Devel/Peek","Changes","X",,,"skip"
"ext/Devel/Peek","Makefile",,"X",,"skip"
"ext/Devel/Peek","Makefile.PL","X","X",,"distrib"
"ext/Devel/Peek","Peek.bs",,"X",,"skip"
"ext/Devel/Peek","Peek.c",,"X",,"skip"
"ext/Devel/Peek","Peek.pm","X","X","X","distrib"
"ext/Devel/Peek","Peek.xs","X","X",,"distrib"
"ext/Devel/Peek","pm_to_blib",,"X",,"skip"
"ext/Devel/Peek/t","Peek.t","X","X",,"distrib"
"ext/Digest/MD5","Changes","X",,,"skip"
"ext/Digest/MD5","MD5.bs",,"X",,"skip"
"ext/Digest/MD5","MD5.c",,"X",,"skip"
"ext/Digest/MD5","MD5.pm","X","X","X","distrib"
"ext/Digest/MD5","MD5.xs","X","X",,"distrib"
"ext/Digest/MD5","Makefile",,"X",,"skip"
"ext/Digest/MD5","Makefile.PL","X","X",,"distrib"
"ext/Digest/MD5","README","X",,,"skip"
"ext/Digest/MD5","pm_to_blib",,"X",,"skip"
"ext/Digest/MD5","typemap","X","X",,"distrib"
"ext/Digest/MD5/hints","MacOS.pl","X",,,"skip"
"ext/Digest/MD5/hints","dec_osf.pl","X",,,"skip"
"ext/Digest/MD5/hints","irix_6.pl","X",,,"skip"
"ext/Digest/MD5/t","align.t","X","X",,"distrib"
"ext/Digest/MD5/t","badfile.t","X","X",,"distrib"
"ext/Digest/MD5/t","bits.t","X","X",,"distrib"
"ext/Digest/MD5/t","clone.t","X","X",,"distrib"
"ext/Digest/MD5/t","files.t","X","X",,"distrib"
"ext/Digest/MD5/t","md5-aaa.t","X","X",,"distrib"
"ext/Digest/MD5/t","utf8.t","X","X",,"distrib"
"ext/DynaLoader","DynaLoader.c",,"X",,"skip"
"ext/DynaLoader","DynaLoader.pm",,"X",,"skip"
"ext/DynaLoader","DynaLoader.xs",,"X",,"skip"
"ext/DynaLoader","DynaLoader_pm.PL","X","X",,"distrib"
"ext/DynaLoader","Makefile",,"X",,"skip"
"ext/DynaLoader","Makefile.PL","X","X",,"distrib"
"ext/DynaLoader","README","X",,,"skip"
"ext/DynaLoader","XSLoader.pm",,"X",,"skip"
"ext/DynaLoader","XSLoader_pm.PL","X","X",,"distrib"
"ext/DynaLoader","dl_aix.xs","X",,,"skip"
"ext/DynaLoader","dl_beos.xs","X",,,"skip"
"ext/DynaLoader","dl_dld.xs","X",,,"skip"
"ext/DynaLoader","dl_dllload.xs","X",,,"skip"
"ext/DynaLoader","dl_dlopen.xs","X","X",,"distrib"
"ext/DynaLoader","dl_dyld.xs","X",,,"skip"
"ext/DynaLoader","dl_hpux.xs","X",,,"skip"
"ext/DynaLoader","dl_mac.xs","X",,,"skip"
"ext/DynaLoader","dl_mpeix.xs","X",,,"skip"
"ext/DynaLoader","dl_next.xs","X",,,"skip"
"ext/DynaLoader","dl_none.xs","X",,,"skip"
"ext/DynaLoader","dl_vmesa.xs","X",,,"skip"
"ext/DynaLoader","dl_vms.xs","X",,,"skip"
"ext/DynaLoader","dlutils.c","X","X",,"distrib"
"ext/DynaLoader","pm_to_blib",,"X",,"skip"
"ext/DynaLoader/hints","aix.pl","X",,,"skip"
"ext/DynaLoader/hints","linux.pl","X",,,"skip"
"ext/DynaLoader/hints","netbsd.pl","X",,,"skip"
"ext/DynaLoader/hints","openbsd.pl","X",,,"skip"
"ext/DynaLoader/t","XSLoader.t","X","X",,"distrib"
"ext/Encode","AUTHORS","X",,,"skip"
"ext/Encode","Changes","X",,,"skip"
"ext/Encode","Encode.bs",,"X",,"skip"
"ext/Encode","Encode.c",,"X",,"skip"
"ext/Encode","Encode.pm","X","X","X","distrib"
"ext/Encode","Encode.xs","X","X",,"distrib"
"ext/Encode","MANIFEST","X","X",,"skip"
"ext/Encode","META.yml","X",,,"skip"
"ext/Encode","Makefile",,"X",,"skip"
"ext/Encode","Makefile.PL","X","X",,"distrib"
"ext/Encode","README","X",,,"skip"
"ext/Encode","def_t.c",,"X",,"skip"
"ext/Encode","def_t.exh",,"X",,"skip"
"ext/Encode","def_t.fnm",,"X",,"skip"
"ext/Encode","def_t.h",,"X",,"skip"
"ext/Encode","encengine.c","X","X",,"distrib"
"ext/Encode","encoding.pm","X","X","X","distrib"
"ext/Encode","pm_to_blib",,"X",,"skip"
"ext/Encode/Byte","Byte.bs",,"X",,"skip"
"ext/Encode/Byte","Byte.c",,"X",,"skip"
"ext/Encode/Byte","Byte.pm","X","X","X","distrib"
"ext/Encode/Byte","Byte.xs",,"X",,"skip"
"ext/Encode/Byte","Makefile",,"X",,"skip"
"ext/Encode/Byte","Makefile.PL","X","X",,"distrib"
"ext/Encode/Byte","byte_t.c",,"X",,"skip"
"ext/Encode/Byte","byte_t.exh",,"X",,"skip"
"ext/Encode/Byte","byte_t.fnm",,"X",,"skip"
"ext/Encode/Byte","byte_t.h",,"X",,"skip"
"ext/Encode/Byte","pm_to_blib",,"X",,"skip"
"ext/Encode/CN","CN.bs",,"X",,"skip"
"ext/Encode/CN","CN.c",,"X",,"skip"
"ext/Encode/CN","CN.pm","X","X","X","distrib"
"ext/Encode/CN","CN.xs",,"X",,"skip"
"ext/Encode/CN","Makefile",,"X",,"skip"
"ext/Encode/CN","Makefile.PL","X","X",,"distrib"
"ext/Encode/CN","cp_00_t.c",,"X",,"skip"
"ext/Encode/CN","cp_00_t.exh",,"X",,"skip"
"ext/Encode/CN","cp_00_t.fnm",,"X",,"skip"
"ext/Encode/CN","cp_00_t.h",,"X",,"skip"
"ext/Encode/CN","eu_01_t.c",,"X",,"skip"
"ext/Encode/CN","eu_01_t.exh",,"X",,"skip"
"ext/Encode/CN","eu_01_t.fnm",,"X",,"skip"
"ext/Encode/CN","eu_01_t.h",,"X",,"skip"
"ext/Encode/CN","gb_02_t.c",,"X",,"skip"
"ext/Encode/CN","gb_02_t.exh",,"X",,"skip"
"ext/Encode/CN","gb_02_t.fnm",,"X",,"skip"
"ext/Encode/CN","gb_02_t.h",,"X",,"skip"
"ext/Encode/CN","gb_03_t.c",,"X",,"skip"
"ext/Encode/CN","gb_03_t.exh",,"X",,"skip"
"ext/Encode/CN","gb_03_t.fnm",,"X",,"skip"
"ext/Encode/CN","gb_03_t.h",,"X",,"skip"
"ext/Encode/CN","ir_04_t.c",,"X",,"skip"
"ext/Encode/CN","ir_04_t.exh",,"X",,"skip"
"ext/Encode/CN","ir_04_t.fnm",,"X",,"skip"
"ext/Encode/CN","ir_04_t.h",,"X",,"skip"
"ext/Encode/CN","ma_05_t.c",,"X",,"skip"
"ext/Encode/CN","ma_05_t.exh",,"X",,"skip"
"ext/Encode/CN","ma_05_t.fnm",,"X",,"skip"
"ext/Encode/CN","ma_05_t.h",,"X",,"skip"
"ext/Encode/CN","pm_to_blib",,"X",,"skip"
"ext/Encode/EBCDIC","EBCDIC.bs",,"X",,"skip"
"ext/Encode/EBCDIC","EBCDIC.c",,"X",,"skip"
"ext/Encode/EBCDIC","EBCDIC.pm","X","X","X","distrib"
"ext/Encode/EBCDIC","EBCDIC.xs",,"X",,"skip"
"ext/Encode/EBCDIC","Makefile",,"X",,"skip"
"ext/Encode/EBCDIC","Makefile.PL","X","X",,"distrib"
"ext/Encode/EBCDIC","ebcdic_t.c",,"X",,"skip"
"ext/Encode/EBCDIC","ebcdic_t.exh",,"X",,"skip"
"ext/Encode/EBCDIC","ebcdic_t.fnm",,"X",,"skip"
